woorden,lettergrepen,aantal lettergrepen
uittredingservaring,"['uit', 'tre', 'dings', 'er', 'va', 'ring']",6
postcommunisme,"['post', 'com', 'mu', 'nis', 'me']",5
spaarzaam,"['spaar', 'zaam']",2
zeeoorlog,"['zee', 'oor', 'log']",3
knalblauwst,"['knal', 'blauwst']",2
roekoekte,"['roe', 'koek', 'te']",3
meegedaan,"['mee', 'ge', 'daan']",3
-waarts,['-waarts'],1
gasdiffusie,"['gas', 'dif', 'fu', 'sie']",4
bermudatuig,"['ber', 'mu', 'da', 'tuig']",4
handvolletje,"['hand', 'vol', 'le', 'tje']",4
criminaliteitscijfers,"['cri', 'mi', 'na', 'li', 'teits', 'cij', 'fers']",7
ME-bussen,"['ME-bus', 'sen']",2
langharig,"['lang', 'ha', 'rig']",3
inzake,"['in', 'za', 'ke']",3
okra,['okra'],1
vrouwenbevrijding,"['vrou', 'wen', 'be', 'vrij', 'ding']",5
loopt binnen,"['loopt', 'bin', 'nen']",3
fasedraadje,"['fa', 'se', 'draad', 'je']",4
drinkbakken,"['drink', 'bak', 'ken']",3
cretinisme,"['cre', 'ti', 'nis', 'me']",4
AA,['AA'],1
hoofdzetel,"['hoofd', 'ze', 'tel']",3
ververst,"['ver', 'verst']",2
overvleugelen,"['over', 'vleu', 'ge', 'len']",4
cleaner,"['clea', 'ner']",2
schrikaanjagende,"['schrik', 'aan', 'ja', 'gen', 'de']",5
verzuilend,"['ver', 'zui', 'lend']",3
ruisfilter,"['ruis', 'fil', 'ter']",3
beherend,"['be', 'he', 'rend']",3
overmeesterend,"['over', 'mees', 'te', 'rend']",4
afwering,"['af', 'we', 'ring']",3
bloedingsziekten,"['bloe', 'dings', 'ziek', 'ten']",4
bolsteren,"['bol', 'ste', 'ren']",3
bedankje,"['be', 'dank', 'je']",3
lurf,['lurf'],1
inzetbaardere,"['in', 'zet', 'baar', 'de', 're']",5
guldens,"['gul', 'dens']",2
monastiekere,"['mo', 'nas', 'tie', 'ke', 're']",5
binomiale,"['bi', 'no', 'mi', 'a', 'le']",5
versjouwen,"['ver', 'sjou', 'wen']",3
bergamotolie,"['ber', 'ga', 'mot', 'olie']",4
tegenstribbelen,"['te', 'gen', 'strib', 'be', 'len']",5
vijandig,"['vij', 'an', 'dig']",3
Slowakije,"['Slo', 'wa', 'kije']",3
ontfermd,"['ont', 'fermd']",2
Piëmontees,"['Pië', 'mon', 'tees']",3
halfbakkenste,"['half', 'bak', 'ken', 'ste']",4
pro-,['pro-'],1
bosbouwkundigere,"['bos', 'bouw', 'kun', 'di', 'ge', 're']",6
atoommassa,"['atoom', 'mas', 'sa']",3
gemaal,"['ge', 'maal']",2
aandeelhebbertjes,"['aan', 'deel', 'heb', 'ber', 'tjes']",5
stemregisseurtje,"['stem', 're', 'gis', 'seur', 'tje']",5
slaperig,"['sla', 'pe', 'rig']",3
afsnoepen,"['af', 'snoe', 'pen']",3
anode,"['ano', 'de']",2
optica,"['op', 'ti', 'ca']",3
aandelenfondsjes,"['aan', 'de', 'len', 'fonds', 'jes']",5
bandparodistje,"['band', 'pa', 'ro', 'dist', 'je']",5
vorkbliksempje,"['vork', 'blik', 'sem', 'pje']",4
cyrillisch alfabet,"['cy', 'ril', 'lisch', 'al', 'fa', 'bet']",6
bevragen,"['be', 'vra', 'gen']",3
plag,['plag'],1
nageteld,"['na', 'ge', 'teld']",3
woningkrantjes,"['wo', 'ning', 'krant', 'jes']",4
kleinere,"['klei', 'ne', 're']",3
voorkeurstemmetje,"['voor', 'keur', 'stem', 'me', 'tje']",5
labberlot,"['lab', 'ber', 'lot']",3
blikschieten,"['blik', 'schie', 'ten']",3
ontsnapt,"['ont', 'snapt']",2
zoetvijlen,"['zoet', 'vij', 'len']",3
arbeidsconflict,"['ar', 'beids', 'con', 'flict']",4
bridge,['bridge'],1
eenheidscel,"['een', 'heids', 'cel']",3
immers,"['im', 'mers']",2
plantkundige,"['plant', 'kun', 'di', 'ge']",4
rauwige,"['rau', 'wi', 'ge']",3
oneerbiedig,"['on', 'eer', 'bie', 'dig']",4
zandtransport,"['zand', 'trans', 'port']",3
populieren,"['po', 'pu', 'lie', 'ren']",4
masturbatorisch,"['mas', 'tur', 'ba', 'to', 'risch']",5
exo-,['exo-'],1
noodnaam,"['nood', 'naam']",2
morsen,"['mor', 'sen']",2
tennis,"['ten', 'nis']",2
katoenzaadolie,"['ka', 'toen', 'zaad', 'olie']",4
Oosteekloos,"['Oos', 'teek', 'loos']",3
panplegie,"['pan', 'ple', 'gie']",3
tai-chieden,"['tai-chie', 'den']",2
vertragendst,"['ver', 'tra', 'gendst']",3
omspoken,"['om', 'spo', 'ken']",3
woonunits,"['woon', 'units']",2
machineparken,"['ma', 'chi', 'ne', 'par', 'ken']",5
gefiltreerd,"['ge', 'fil', 'treerd']",3
reorganisatortje,"['re', 'or', 'ga', 'ni', 'sa', 'tor', 'tje']",7
angstdroompjes,"['angst', 'droom', 'pjes']",3
askleurigs,"['as', 'kleu', 'rigs']",3
doorlieten,"['door', 'lie', 'ten']",3
binnenmarkt,"['bin', 'nen', 'markt']",3
bijkopen,"['bij', 'ko', 'pen']",3
Ngad'a,"[""Ngad'a""]",1
resignatie,"['re', 'sig', 'na', 'tie']",4
knijpkat,"['knijp', 'kat']",2
tweeslagmotor,"['twee', 'slag', 'mo', 'tor']",4
mondigste,"['mon', 'dig', 'ste']",3
behartigenswaardigers,"['be', 'har', 'ti', 'gens', 'waar', 'di', 'gers']",7
Mauritanië,"['Mau', 'ri', 'ta', 'nië']",4
coulomb,"['cou', 'lomb']",2
frik,['frik'],1
oorsieraden,"['oor', 'sie', 'ra', 'den']",4
overheersendste,"['over', 'heer', 'send', 'ste']",4
transitieperioden,"['tran', 'si', 'tie', 'pe', 'ri', 'o', 'den']",7
allotransplantatie,"['al', 'lo', 'trans', 'plan', 'ta', 'tie']",6
blijkend,"['blij', 'kend']",2
zwartkijker,"['zwart', 'kij', 'ker']",3
aartsrivaaltjes,"['aarts', 'ri', 'vaal', 'tjes']",4
afwasser,"['af', 'was', 'ser']",3
comparitie,"['com', 'pa', 'ri', 'tie']",4
vijl,['vijl'],1
oogschaduw,"['oog', 'scha', 'duw']",3
kinderdoding,"['kin', 'der', 'do', 'ding']",4
betreft,"['be', 'treft']",2
mesogeen,"['me', 'so', 'geen']",3
klas,['klas'],1
koplamp,"['kop', 'lamp']",2
wachtengel,"['wacht', 'en', 'gel']",3
dolmessen,"['dol', 'mes', 'sen']",3
ontnietend,"['ont', 'nie', 'tend']",3
hartkwaal,"['hart', 'kwaal']",2
synthetiseer,"['syn', 'the', 'ti', 'seer']",4
lichtjaar,"['licht', 'jaar']",2
pastaprutjes,"['pas', 'ta', 'prut', 'jes']",4
verloochenen,"['ver', 'loo', 'che', 'nen']",4
seismometer,"['seis', 'mo', 'me', 'ter']",4
meevallen,"['mee', 'val', 'len']",3
uitzwermde,"['uit', 'zwerm', 'de']",3
ronkte,"['ronk', 'te']",2
verhoutend,"['ver', 'hou', 'tend']",3
tuberculosebestrijdingen,"['tu', 'ber', 'cu', 'lo', 'se', 'be', 'strij', 'din', 'gen']",9
pannenspons,"['pan', 'nen', 'spons']",3
weke,"['we', 'ke']",2
bevelen,"['be', 've', 'len']",3
helegaar,"['he', 'le', 'gaar']",3
dienstweigeraar,"['dienst', 'wei', 'ge', 'raar']",4
toetsaanslag,"['toets', 'aan', 'slag']",3
wad,['wad'],1
stroomprijzen,"['stroom', 'prij', 'zen']",3
betrekkelijkers,"['be', 'trek', 'ke', 'lij', 'kers']",5
consanguiniteit,"['con', 'san', 'gui', 'ni', 'teit']",5
hoge,"['ho', 'ge']",2
kamen,"['ka', 'men']",2
ruien,"['rui', 'en']",2
pommel,"['pom', 'mel']",2
aanhangend,"['aan', 'han', 'gend']",3
appareil,"['ap', 'pa', 'reil']",3
viseter,"['vis', 'eter']",2
legaliteit,"['le', 'ga', 'li', 'teit']",4
filerend,"['fi', 'le', 'rend']",3
inslaan,"['in', 'slaan']",2
anisotroper,"['ani', 'so', 'tro', 'per']",4
boorolie,"['boor', 'olie']",2
mus,['mus'],1
zwijnshoofd,"['zwijns', 'hoofd']",2
streektalen,"['streek', 'ta', 'len']",3
zoetigheid,"['zoe', 'tig', 'heid']",3
partnerverklaringen,"['part', 'ner', 'ver', 'kla', 'rin', 'gen']",6
vluchtelingenkampje,"['vluch', 'te', 'lin', 'gen', 'kamp', 'je']",6
H-bom,['H-bom'],1
vastberaden,"['vast', 'be', 'ra', 'den']",4
goedendag,"['goe', 'den', 'dag']",3
daaraf,"['daar', 'af']",2
dusters,"['dus', 'ters']",2
wijnbakje,"['wijn', 'bak', 'je']",3
ereblijk,"['ere', 'blijk']",2
expressief,"['ex', 'pres', 'sief']",3
pieterig,"['pie', 'te', 'rig']",3
deurprijs,"['deur', 'prijs']",2
snelst,['snelst'],1
niknakje,"['nik', 'nak', 'je']",3
welvarend,"['wel', 'va', 'rend']",3
skiwassen,"['ski', 'was', 'sen']",3
uitblussend,"['uit', 'blus', 'send']",3
onsmakelijk,"['on', 'sma', 'ke', 'lijk']",4
hondsdol,"['honds', 'dol']",2
smedig,"['sme', 'dig']",2
tuchtrechtelijk,"['tucht', 'rech', 'te', 'lijk']",4
subcapsulaire,"['sub', 'cap', 'su', 'lai', 're']",5
dualers,"['du', 'a', 'lers']",3
sta,['sta'],1
nijverders,"['nij', 'ver', 'ders']",3
introduceren,"['in', 'tro', 'du', 'ce', 'ren']",5
schadeclaim,"['scha', 'de', 'claim']",3
taaiheden,"['taai', 'he', 'den']",3
hommages,"['hom', 'ma', 'ges']",3
aardpooltjes,"['aard', 'pool', 'tjes']",3
raagbolletje,"['raag', 'bol', 'le', 'tje']",4
miljardste,"['mil', 'jard', 'ste']",3
woordgroep,"['woord', 'groep']",2
geknisperd,"['ge', 'knis', 'perd']",3
cavaleriecharge,"['ca', 'va', 'le', 'rie', 'char', 'ge']",6
gordt,['gordt'],1
Grote Beer,"['Gro', 'te', 'Beer']",3
adopterend,"['adop', 'te', 'rend']",3
bemand,"['be', 'mand']",2
defensie,"['de', 'fen', 'sie']",3
afkeuren,"['af', 'keu', 'ren']",3
Jammu en Kashmir,"['Jam', 'mu', 'en', 'Kash', 'mir']",5
softdrinks,"['soft', 'drinks']",2
Xinjiang,"['Xin', 'ji', 'ang']",3
apartheidspolitiek,"['apart', 'heids', 'po', 'li', 'tiek']",5
tiramisu's,"['ti', 'ra', 'mi', ""su's""]",4
dinoflagellaten,"['di', 'no', 'fla', 'gel', 'la', 'ten']",6
musketier,"['mus', 'ke', 'tier']",3
adieu,"['adi', 'eu']",2
dikkop,"['dik', 'kop']",2
ingraven,"['in', 'gra', 'ven']",3
farmer,"['far', 'mer']",2
koloniseerde,"['ko', 'lo', 'ni', 'seer', 'de']",5
ziektemelding,"['ziek', 'te', 'mel', 'ding']",4
decadente,"['de', 'ca', 'den', 'te']",4
routeplanner,"['rou', 'te', 'plan', 'ner']",4
wants,['wants'],1
vastspelden,"['vast', 'spel', 'den']",3
beklinkerden,"['be', 'klin', 'ker', 'den']",4
loskrijgen,"['los', 'krij', 'gen']",3
duodeciljoen,"['duo', 'de', 'cil', 'joen']",4
festivaldag,"['fes', 'ti', 'val', 'dag']",4
Nigeriaanse naira,"['Ni', 'ge', 'ri', 'aan', 'se', 'nai', 'ra']",7
richten,"['rich', 'ten']",2
slavenarbeid,"['sla', 'ven', 'ar', 'beid']",4
ovatie,"['ova', 'tie']",2
cropte,"['crop', 'te']",2
dagdagelijks,"['dag', 'da', 'ge', 'lijks']",4
oscillator,"['os', 'cil', 'la', 'tor']",4
politiebeambte,"['po', 'li', 'tie', 'be', 'amb', 'te']",6
Boergondië,"['Boer', 'gon', 'dië']",3
gedachtedraadje,"['ge', 'dach', 'te', 'draad', 'je']",5
Aconcagua,"['Acon', 'ca', 'gua']",3
leeswoedes,"['lees', 'woe', 'des']",3
aardklootjes,"['aard', 'kloot', 'jes']",3
toverwoorden,"['to', 'ver', 'woor', 'den']",4
hempie,"['hem', 'pie']",2
paniekbestendiger,"['pa', 'niek', 'be', 'sten', 'di', 'ger']",6
Ges-groot,['Ges-groot'],1
oplossen,"['op', 'los', 'sen']",3
voorjaarsmorgen,"['voor', 'jaars', 'mor', 'gen']",4
televisietoestel,"['te', 'le', 'vi', 'sie', 'toe', 'stel']",6
zedenpreken,"['ze', 'den', 'pre', 'ken']",4
aasetertje,"['aas', 'eter', 'tje']",3
behartigingswaardigst,"['be', 'har', 'ti', 'gings', 'waar', 'digst']",6
synthetisch,"['syn', 'the', 'tisch']",3
eindgeneriek,"['eind', 'ge', 'ne', 'riek']",4
kerselaartjes,"['ker', 'se', 'laar', 'tjes']",4
verhongerde,"['ver', 'hon', 'ger', 'de']",4
matan Tora,"['ma', 'tan', 'To', 'ra']",4
symbooltjes,"['sym', 'bool', 'tjes']",3
stukgooien,"['stuk', 'gooi', 'en']",3
mestiezen,"['mes', 'tie', 'zen']",3
hobbyist,"['hob', 'by', 'ist']",3
heteroseksuelere,"['he', 'te', 'ro', 'sek', 'su', 'e', 'le', 're']",8
gezichtsreiniging,"['ge', 'zichts', 'rei', 'ni', 'ging']",5
machthebber,"['macht', 'heb', 'ber']",3
vrieshuis,"['vries', 'huis']",2
affecteerden,"['af', 'fec', 'teer', 'den']",4
HPV,['HPV'],1
uitdraait,"['uit', 'draait']",2
kruisproeven,"['kruis', 'proe', 'ven']",3
verbleek,"['ver', 'bleek']",2
ame,['ame'],1
zeel,['zeel'],1
afzetgebiedje,"['af', 'zet', 'ge', 'bied', 'je']",5
wener,"['we', 'ner']",2
cambio's,"['cam', 'bi', ""o's""]",3
kortoren,"['kort', 'oren']",2
toiletartikelen,"['toi', 'let', 'ar', 'ti', 'ke', 'len']",6
AZ,['AZ'],1
surrogaatmoeder,"['sur', 'ro', 'gaat', 'moe', 'der']",5
avocado's,"['avo', 'ca', ""do's""]",3
belastingdienst,"['be', 'las', 'ting', 'dienst']",4
katrol,"['ka', 'trol']",2
aanvraagtermijn,"['aan', 'vraag', 'ter', 'mijn']",4
dodeman,"['do', 'de', 'man']",3
zoutzuur,"['zout', 'zuur']",2
manoeuvreerbaar,"['ma', 'noeu', 'vreer', 'baar']",4
duoblok,"['duo', 'blok']",2
eerste-ordesystemen,"['eer', 'ste-or', 'de', 'sys', 'te', 'men']",6
telefoto,"['te', 'le', 'fo', 'to']",4
tegenat,"['te', 'gen', 'at']",3
oppokend,"['op', 'po', 'kend']",3
boyscout,"['boy', 'scout']",2
zwemparadijs,"['zwem', 'pa', 'ra', 'dijs']",4
bergweggetje,"['berg', 'weg', 'ge', 'tje']",4
geaard,"['ge', 'aard']",2
kerstborrel,"['kerst', 'bor', 'rel']",3
aandachttrekkerij,"['aan', 'dacht', 'trek', 'ke', 'rij']",5
Waaltje,"['Waal', 'tje']",2
rondhangen,"['rond', 'han', 'gen']",3
pelsers,"['pel', 'sers']",2
stroppendrager,"['strop', 'pen', 'dra', 'ger']",4
motordefecten,"['mo', 'tor', 'de', 'fec', 'ten']",5
krullenjongen,"['krul', 'len', 'jon', 'gen']",4
doorga,"['door', 'ga']",2
G-krachten,"['G-krach', 'ten']",2
aandelenemissietje,"['aan', 'de', 'len', 'emis', 'sie', 'tje']",6
zelfbeschikking,"['zelf', 'be', 'schik', 'king']",4
bladderde,"['blad', 'der', 'de']",3
postelatiefjes,"['post', 'ela', 'tief', 'jes']",4
verhandelen,"['ver', 'han', 'de', 'len']",4
poen,['poen'],1
terrarium,"['ter', 'ra', 'ri', 'um']",4
herbouwde,"['her', 'bouw', 'de']",3
knijpen toe,"['knij', 'pen', 'toe']",3
aan-uitknoppen,"['aan-uit', 'knop', 'pen']",3
aanknoping,"['aan', 'kno', 'ping']",3
denkwijze,"['denk', 'wij', 'ze']",3
verkloten,"['ver', 'klo', 'ten']",3
vergroeien,"['ver', 'groei', 'en']",3
stakkers,"['stak', 'kers']",2
kraakbeen,"['kraak', 'been']",2
gedingen,"['ge', 'din', 'gen']",3
gasvormigst,"['gas', 'vor', 'migst']",3
hierrond,"['hier', 'rond']",2
onderzoeksvragen,"['on', 'der', 'zoeks', 'vra', 'gen']",5
diefijzers,"['dief', 'ij', 'zers']",3
wegbarricade,"['weg', 'bar', 'ri', 'ca', 'de']",5
moeilijkheidsgraad,"['moei', 'lijk', 'heids', 'graad']",4
tegenactie,"['te', 'gen', 'ac', 'tie']",4
astrologes,"['as', 'tro', 'lo', 'ges']",4
weerlam,"['weer', 'lam']",2
ge-3D-print,['ge-3D-print'],1
Oostblok,"['Oost', 'blok']",2
dodenrijk,"['do', 'den', 'rijk']",3
schietspoel,"['schiet', 'spoel']",2
onvoorzichtigers,"['on', 'voor', 'zich', 'ti', 'gers']",5
kilometerheffingen,"['ki', 'lo', 'me', 'ter', 'hef', 'fin', 'gen']",7
facturering,"['fac', 'tu', 're', 'ring']",4
klerezooi,"['kle', 're', 'zooi']",3
smakelijk,"['sma', 'ke', 'lijk']",3
zetboord,"['zet', 'boord']",2
neurasthenie,"['neu', 'ras', 'the', 'nie']",4
loopcarrières,"['loop', 'car', 'riè', 'res']",4
zuiderling,"['zui', 'der', 'ling']",3
weekendhuwelijk,"['week', 'end', 'hu', 'we', 'lijk']",5
accumulatievere,"['ac', 'cu', 'mu', 'la', 'tie', 've', 're']",7
luwte,"['luw', 'te']",2
oefendagen,"['oe', 'fen', 'da', 'gen']",4
gerechtsdeurwaarder,"['ge', 'rechts', 'deur', 'waar', 'der']",5
weidspelen,"['weid', 'spe', 'len']",3
blokkeerfries,"['blok', 'keer', 'fries']",3
neutraliteit,"['neu', 'tra', 'li', 'teit']",4
wervelkolommetje,"['wer', 'vel', 'ko', 'lom', 'me', 'tje']",6
spinnenweb,"['spin', 'nen', 'web']",3
slaapbeen,"['slaap', 'been']",2
roders,"['ro', 'ders']",2
schrielhannes,"['schriel', 'han', 'nes']",3
leeghoofdige,"['leeg', 'hoof', 'di', 'ge']",4
welomlijnd,"['wel', 'om', 'lijnd']",3
afhouwend,"['af', 'hou', 'wend']",3
tweehonderdentwee,"['twee', 'hon', 'derd', 'en', 'twee']",5
skilift,"['ski', 'lift']",2
sonoor,"['so', 'noor']",2
brutaal,"['bru', 'taal']",2
loyaliteit,"['lo', 'ya', 'li', 'teit']",4
studentikooste,"['stu', 'den', 'ti', 'koos', 'te']",5
balanstrut,"['ba', 'lans', 'trut']",3
zwijmelbekertjes,"['zwij', 'mel', 'be', 'ker', 'tjes']",5
zebracode,"['ze', 'bra', 'co', 'de']",4
paternalistische,"['pa', 'ter', 'na', 'lis', 'ti', 'sche']",6
daarnaartoe,"['daar', 'naar', 'toe']",3
parkeermuntje,"['par', 'keer', 'munt', 'je']",4
kween,['kween'],1
cambium,"['cam', 'bi', 'um']",3
doneren,"['do', 'ne', 'ren']",3
keen,['keen'],1
taspalm,"['tas', 'palm']",2
zuidoostwaarts,"['zuid', 'oost', 'waarts']",3
vlieg weg,"['vlieg', 'weg']",2
maatbeker,"['maat', 'be', 'ker']",3
disponeerden,"['dis', 'po', 'neer', 'den']",4
stormvloedkering,"['storm', 'vloed', 'ke', 'ring']",4
macroscopisch,"['ma', 'cro', 'sco', 'pisch']",4
stinkbokje,"['stink', 'bok', 'je']",3
baks,['baks'],1
opgeveegd,"['op', 'ge', 'veegd']",3
schakelbord,"['scha', 'kel', 'bord']",3
verkiesbaar,"['ver', 'kies', 'baar']",3
pastinaak,"['pas', 'ti', 'naak']",3
snotter,"['snot', 'ter']",2
wandellaars,"['wan', 'del', 'laars']",3
nikker,"['nik', 'ker']",2
packagedeals,"['pac', 'kage', 'deals']",3
schildklieren,"['schild', 'klie', 'ren']",3
afwachting,"['af', 'wach', 'ting']",3
betonblok,"['be', 'ton', 'blok']",3
oogstfeest,"['oogst', 'feest']",2
langlaufen,"['lang', 'lau', 'fen']",3
anterieure,"['an', 'te', 'ri', 'eu', 're']",5
onbeheerds,"['on', 'be', 'heerds']",3
blondeerde,"['blon', 'deer', 'de']",3
oppasjes,"['op', 'pas', 'jes']",3
einddata,"['eind', 'da', 'ta']",3
onsterkst,"['on', 'sterkst']",2
honderdeurobiljetjes,"['hon', 'derd', 'eu', 'ro', 'bil', 'jet', 'jes']",7
poetoen,"['poe', 'toen']",2
vakantiewoningen,"['va', 'kan', 'tie', 'wo', 'nin', 'gen']",6
aansluitender,"['aan', 'slui', 'ten', 'der']",4
afprekend,"['af', 'pre', 'kend']",3
Frans-Zwitserst,"['Frans-Zwit', 'serst']",2
zeilderen,"['zeil', 'de', 'ren']",3
verzusteren,"['ver', 'zus', 'te', 'ren']",4
rands,['rands'],1
civiliseerde,"['ci', 'vi', 'li', 'seer', 'de']",5
jeugdconferentie,"['jeugd', 'con', 'fe', 'ren', 'tie']",5
hinderwet,"['hin', 'der', 'wet']",3
amandelboom,"['aman', 'del', 'boom']",3
geograaf,"['geo', 'graaf']",2
kakelbonte,"['ka', 'kel', 'bon', 'te']",4
ankerarm,"['an', 'ker', 'arm']",3
ongelaagde,"['on', 'ge', 'laag', 'de']",4
grootstag,"['groot', 'stag']",2
boemelaar,"['boe', 'me', 'laar']",3
teerling,"['teer', 'ling']",2
beatere,"['be', 'a', 'te', 're']",4
prefereerde,"['pre', 'fe', 'reer', 'de']",4
aandelenkoersje,"['aan', 'de', 'len', 'koers', 'je']",5
beddesprei,"['bed', 'de', 'sprei']",3
aerofobie,"['ae', 'ro', 'fo', 'bie']",4
tochtigheid,"['toch', 'tig', 'heid']",3
schoonfamilies,"['schoon', 'fa', 'mi', 'lies']",4
zoöstuprum,"['zoö', 'stu', 'prum']",3
aanrakinkje,"['aan', 'ra', 'kin', 'kje']",4
jodelen,"['jo', 'de', 'len']",3
Wotisch,"['Wo', 'tisch']",2
sterkte,"['sterk', 'te']",2
bakkesen,"['bak', 'ke', 'sen']",3
blaas aan,"['blaas', 'aan']",2
verzorgingsstaat,"['ver', 'zor', 'gings', 'staat']",4
huishouden,"['huis', 'hou', 'den']",3
luister,"['luis', 'ter']",2
eensluidendere,"['eens', 'lui', 'den', 'de', 're']",5
rekenkamertje,"['re', 'ken', 'ka', 'mer', 'tje']",5
uitmuntend,"['uit', 'mun', 'tend']",3
menu,"['me', 'nu']",2
tijdverliezen,"['tijd', 'ver', 'lie', 'zen']",4
aanlokkelijkheid,"['aan', 'lok', 'ke', 'lijk', 'heid']",5
dubieuste,"['du', 'bi', 'eus', 'te']",4
baardman,"['baard', 'man']",2
knoopcelletjes,"['knoop', 'cel', 'le', 'tjes']",4
anomie,"['ano', 'mie']",2
meespelertjes,"['mee', 'spe', 'ler', 'tjes']",4
brede wespenorchisjes,"['bre', 'de', 'wes', 'pen', 'or', 'chis', 'jes']",7
debiteur,"['de', 'bi', 'teur']",3
metallisaties,"['me', 'tal', 'li', 'sa', 'ties']",5
dysfemisme,"['dys', 'fe', 'mis', 'me']",4
relances,"['re', 'lan', 'ces']",3
biervaatje,"['bier', 'vaat', 'je']",3
calamarissen,"['ca', 'la', 'ma', 'ris', 'sen']",5
zachtelijk,"['zach', 'te', 'lijk']",3
eg,['eg'],1
felsischer,"['fel', 'si', 'scher']",3
deuggleuf,"['deug', 'gleuf']",2
-st,['-st'],1
kostwinnersprincipe,"['kost', 'win', 'ners', 'prin', 'ci', 'pe']",6
Liberia,"['Li', 'be', 'ria']",3
porums,"['po', 'rums']",2
filet,"['fi', 'let']",2
pup,['pup'],1
kapitaal,"['ka', 'pi', 'taal']",3
walvisstaartje,"['wal', 'vis', 'staart', 'je']",4
galvaniseren,"['gal', 'va', 'ni', 'se', 'ren']",5
steenhouwertje,"['steen', 'hou', 'wer', 'tje']",4
skelet,"['ske', 'let']",2
recapte,"['re', 'cap', 'te']",3
handelsblad,"['han', 'dels', 'blad']",3
islamofilie,"['is', 'la', 'mo', 'fi', 'lie']",5
parkeergelegenheid,"['par', 'keer', 'ge', 'le', 'gen', 'heid']",6
winterbed,"['win', 'ter', 'bed']",3
uitvergroot,"['uit', 'ver', 'groot']",3
slaapuren,"['slaap', 'uren']",2
putgalg,"['put', 'galg']",2
ongenegenste,"['on', 'ge', 'ne', 'gen', 'ste']",5
inspelen,"['in', 'spe', 'len']",3
zeeziekte,"['zee', 'ziek', 'te']",3
kofkapitein,"['kof', 'ka', 'pi', 'tein']",4
pocht,['pocht'],1
Dzongkha,"['Dzong', 'kha']",2
gebolsterd,"['ge', 'bol', 'sterd']",3
aansluitinkje,"['aan', 'slui', 'tin', 'kje']",4
Saaroa,"['Saa', 'roa']",2
utopietje,"['uto', 'pie', 'tje']",3
mok,['mok'],1
schoonbroers,"['schoon', 'broers']",2
leefde samen,"['leef', 'de', 'sa', 'men']",4
randjes,"['rand', 'jes']",2
gezondheidstoestanden,"['ge', 'zond', 'heids', 'toe', 'stan', 'den']",6
snaartheorietjes,"['snaar', 'the', 'o', 'rie', 'tjes']",5
pensionaat,"['pen', 'si', 'o', 'naat']",4
netsporten,"['net', 'spor', 'ten']",3
rioolslib,"['ri', 'ool', 'slib']",3
avondschooltje,"['avond', 'school', 'tje']",3
tegelijk,"['te', 'ge', 'lijk']",3
steniging,"['ste', 'ni', 'ging']",3
benieuwe,"['be', 'nieu', 'we']",3
oud-Engelandvaarder,"['oud-En', 'ge', 'land', 'vaar', 'der']",5
oplettendheden,"['op', 'let', 'tend', 'he', 'den']",5
ontdekking,"['ont', 'dek', 'king']",3
modinette,"['mo', 'di', 'net', 'te']",4
klaverens,"['kla', 've', 'rens']",3
bouwjaar,"['bouw', 'jaar']",2
chemobak,"['che', 'mo', 'bak']",3
refluxt,"['re', 'fluxt']",2
verbrandingsmotortje,"['ver', 'bran', 'dings', 'mo', 'tor', 'tje']",6
weerkunde,"['weer', 'kun', 'de']",3
ehbo-doos,['ehbo-doos'],1
handveger,"['hand', 've', 'ger']",3
zeebanket,"['zee', 'ban', 'ket']",3
aangrijpendste,"['aan', 'grij', 'pend', 'ste']",4
vrouwenschoen,"['vrou', 'wen', 'schoen']",3
architectuur,"['ar', 'chi', 'tec', 'tuur']",4
weelde,"['weel', 'de']",2
wegkopen,"['weg', 'ko', 'pen']",3
onverdachte,"['on', 'ver', 'dach', 'te']",4
fleswater,"['fles', 'wa', 'ter']",3
herders,"['her', 'ders']",2
Paleogeen,"['Pa', 'leo', 'geen']",3
staatsvorm,"['staats', 'vorm']",2
varkensfokkerij,"['var', 'kens', 'fok', 'ke', 'rij']",5
onderuit,"['on', 'der', 'uit']",3
alpenhoorntjes,"['al', 'pen', 'hoorn', 'tjes']",4
Hebreeuwse Bijbel,"['He', 'breeuw', 'se', 'Bij', 'bel']",5
knalvuurwerken,"['knal', 'vuur', 'wer', 'ken']",4
Venetië,"['Ve', 'ne', 'tië']",3
handbijlen,"['hand', 'bij', 'len']",3
rechtstaten,"['recht', 'sta', 'ten']",3
plasticeren,"['plas', 'ti', 'ce', 'ren']",4
gebouwen,"['ge', 'bou', 'wen']",3
huisstofmijt,"['huis', 'stof', 'mijt']",3
vakkenvullend,"['vak', 'ken', 'vul', 'lend']",4
aanlegsteigertjes,"['aan', 'leg', 'stei', 'ger', 'tjes']",5
opleiding,"['op', 'lei', 'ding']",3
Zwolse,"['Zwol', 'se']",2
munitiedepot,"['mu', 'ni', 'tie', 'de', 'pot']",5
osteon,"['os', 'te', 'on']",3
dubben,"['dub', 'ben']",2
bergweggetjes,"['berg', 'weg', 'ge', 'tjes']",4
goedgetraind,"['goed', 'ge', 'traind']",3
gezondheidsorganisaties,"['ge', 'zond', 'heids', 'or', 'ga', 'ni', 'sa', 'ties']",8
haarvaatjes,"['haar', 'vaat', 'jes']",3
situatie,"['si', 'tu', 'a', 'tie']",4
softies,"['sof', 'ties']",2
amber,"['am', 'ber']",2
